file_name,num_classes,num_methods,num_reflections,num_file_operations,num_network_operations
LoadbalanceAlgorithmFactory.java,1,2,0,0,0
LoadbalanceEndpoint.java,3,18,0,0,0
LoadbalanceEndpointFactory.java,1,3,0,0,0
LoadBalanceEndpointSerializationTest.java,1,1,0,0,0
LoadbalanceEndpointSerializer.java,1,1,0,0,0
LoadbalanceFailoverClient.java,1,9,0,0,0
LoadBalanceMembershipHandler.java,0,6,0,0,0
LocalEntryConfigurationTest.java,1,13,0,0,0
LocalEntryDeployer.java,1,4,0,0,0
Location.java,1,4,0,0,0
LoggingClientEventHandler.java,1,9,0,0,0
LoggingConstants.java,1,0,0,0,0
LoggingIOSession.java,2,25,0,0,0
LoggingNHttpClientConnection.java,1,5,0,0,0
LoggingNHttpServerConnection.java,1,5,0,0,0
LoggingServerEventHandler.java,1,9,0,0,0
LoggingUtils.java,1,6,0,0,0
LogMediator.java,1,18,0,0,0
LogMediatorFactory.java,1,2,0,0,0
LogMediatorSerializationTest.java,1,8,0,0,0
LogMediatorSerializer.java,1,2,0,0,0
LoopbackMediator.java,1,2,0,0,0
LoopbackMediatorFactory.java,1,2,0,0,0
LoopbackMediatorSerializer.java,1,2,0,0,0
ManageableCache.java,0,3,0,0,0
ManageableCacheValue.java,0,4,0,0,0
ManagedLifecycle.java,0,2,0,0,0
MatchBuilderTest.java,1,4,0,0,0
MatchEvaluator.java,1,7,0,0,0
MatchFactory.java,1,1,0,0,0
MatchSerializer.java,1,1,0,0,0
MatchSerializerTest.java,1,4,0,0,0
MBeanRegistrar.java,1,7,0,0,0
MBeanRepository.java,0,4,0,0,0
MDDConsumer.java,1,5,0,0,0
MDDProducer.java,1,6,0,0,0
Mediator.java,0,5,0,0,0
MediatorBaseVariable.java,1,1,0,0,0
MediatorCustomVariable.java,1,8,0,0,0
MediatorFactory.java,0,2,0,0,0
MediatorFactoryFinder.java,1,8,0,0,0
MediatorFaultHandler.java,1,4,0,0,0
MediatorLog.java,1,13,0,0,0
MediatorProperty.java,1,10,0,0,0
MediatorPropertyFactory.java,1,1,0,0,0
MediatorPropertySerializer.java,1,4,0,0,0
MediatorSerializer.java,0,2,0,0,0
MediatorSerializerFinder.java,1,5,0,0,0
MediatorVariable.java,1,7,0,0,0
MediatorWorker.java,1,2,0,0,0
MessageBuilderTest.java,1,6,0,0,0
MessageContext.java,0,54,0,0,0
MessageContextCreatorForAxis2.java,1,5,0,0,0
MessageCounter.java,1,3,0,0,0
MessageFormatterDecoratorFactory.java,1,1,0,0,0
MessageForwardingProcessorView.java,1,11,0,0,0
MessageForwardingProcessorViewMBean.java,0,10,0,0,0
MessageHelper.java,1,16,0,0,0
MessageHelperTest.java,1,2,0,0,0
MessageInjector.java,1,11,0,0,0
MessageProcessor.java,0,9,0,0,0
MessageProcessorConsents.java,1,0,0,0,0
MessageProcessorDeployer.java,1,4,0,0,0
MessageProcessorFactory.java,1,3,0,0,0
MessageProcessorSerializationTest.java,2,6,0,0,0
MessageProcessorSerializer.java,1,3,0,0,0
MessageQueue.java,0,6,0,0,0
MessageStore.java,0,16,0,0,0
MessageStoreDeployer.java,1,4,0,0,0
MessageStoreFactory.java,1,4,0,0,0
MessageStoreMediator.java,1,8,0,0,0
MessageStoreMediatorFactory.java,1,2,0,0,0
MessageStoreMediatorSerializationTest.java,1,2,0,0,0
MessageStoreMediatorSerializer.java,1,2,0,0,0
MessageStoreObserver.java,0,2,0,0,0
MessageStoreSerializationTest.java,1,2,0,0,0
MessageStoreSerializer.java,1,3,0,0,0
MessageStoreView.java,1,5,0,0,0
MessageStoreViewMBean.java,0,5,0,0,0
MessageTest.java,1,2,0,0,0
MetricsAggregatorModule.java,1,5,0,0,0
MetricsConstants.java,1,0,0,0,0
MiscellaneousUtil.java,1,5,0,0,0
MTOMSwAClient.java,1,5,0,0,0
MTOMSwASampleClient.java,1,2,0,0,0
MTOMSwASampleService.java,1,3,0,0,0
MultiPriorityBlockingQueue.java,2,27,0,0,0
MultiPriorityBlockingQueueAbstractTest.java,1,2,0,0,0
MultiPriorityBlockingQueueStressTest.java,3,12,0,0,0
MultiPriorityBlockingQueueTest.java,1,16,0,0,0
